Dataset,Packet,Method,EventCount,LineCount,ClusterCount,Coverage,Precision,F1,IoU,Fragmentation,MergeError,ExtraEventRatio,RuntimeSeconds
urban_events,15,LLGD,15178,123,118,0.48321780372127,0.359820700896496,0.412488321395204,0.259833251593919,1.33333333333333,0.520951302378256,0.640179299103504,1.0561727
urban_events,15,ST,15178,123,30,0.067493615468807,0.339138405132906,0.112581773923627,0.0596485571497662,1.33333333333333,0.0405405405405406,0.660861594867094,0.1386058
urban_events,15,ELiSeD,15178,123,9,0.0229843122947829,0.415841584158416,0.0435609334485739,0.0222654179183601,1,0.0873015873015873,0.584158415841584,0.1678617
urban_events,15,LE-calib,15178,123,78,0.346953666545057,0.407891915076131,0.374963035978314,0.230741234987262,1.25,0.351735015772871,0.592108084923869,2.620153
urban_events,16,LLGD,8279,97,67,0.310587262200165,0.262312259867272,0.284415830335164,0.165783664459161,1.33333333333333,0.390146471371505,0.737687740132728,0.4622691
urban_events,16,ST,8279,97,14,0.0533498759305211,0.273885350318471,0.0893042575285566,0.0467391304347826,1.2,0.0232558139534884,0.726114649681529,0.0621378
urban_events,16,ELiSeD,8279,97,33,0.128205128205128,0.330843116328709,0.184798807749627,0.101806239737274,1.75,0.219354838709677,0.669156883671291,0.1184375
urban_events,16,LE-calib,8279,97,36,0.339950372208437,0.372451291345718,0.355459459459459,0.216145148566921,1,0.389294403892944,0.627548708654282,1.5129612
urban_events,17,LLGD,18762,104,51,0.93869526362824,0.298969659019753,0.453501424747431,0.293243997766611,1,0.802551408987053,0.701030340980247,2.8993458
urban_events,17,ST,18762,104,34,0.0437890974084004,0.238791423001949,0.0740069475909983,0.0384253450439147,1.11111111111111,0.110204081632653,0.761208576998051,0.1435778
urban_events,17,ELiSeD,18762,104,39,0.07828418230563,0.216939078751857,0.1150512214342,0.0610367892976589,2.33333333333333,0,0.783060921248143,0.3290106
urban_events,17,LE-calib,18762,104,74,0.334941912421805,0.337840274021994,0.336384850116676,0.202201122140699,1.375,0.192102454642476,0.662159725978006,3.492751
urban_events,18,LLGD,10931,87,102,0.335453100158982,0.264212371650388,0.295601008685906,0.173434160775933,1,0.518483412322275,0.735787628349612,0.7077336
urban_events,18,ST,10931,87,17,0.0451510333863275,0.255395683453237,0.0767360172926236,0.0398988479910087,1,0.0985915492957746,0.744604316546763,0.083735
urban_events,18,ELiSeD,10931,87,36,0.164387917329094,0.459147424511545,0.24209786935144,0.137719765583378,1.625,0.181818181818182,0.540852575488455,0.1669416
urban_events,18,LE-calib,10931,87,50,0.322734499205087,0.317882868775446,0.320290312401388,0.1906819462709,1,0.522167487684729,0.682117131224554,1.9700421
urban_events,19,LLGD,11455,102,84,0.396952380952381,0.191896869244936,0.258721291123526,0.148581206331099,1.5,0.40595009596929,0.808103130755064,0.7488744
urban_events,19,ST,11455,102,11,0.0392380952380952,0.208080808080808,0.066025641025641,0.0341398740470666,1.33333333333333,0.00970873786407767,0.791919191919192,0.1099198
urban_events,19,ELiSeD,11455,102,26,0.0849523809523809,0.293035479632063,0.13171884229179,0.0705026873221625,1.4,0.0986547085201793,0.706964520367937,0.1596552
urban_events,19,LE-calib,11455,102,57,0.313142857142857,0.235058621675722,0.268539692910813,0.155094339622642,1,0.271289537712895,0.764941378324278,1.9928361
urban_events,20,LLGD,9308,109,51,0.173792557403009,0.232644409114997,0.198957625198278,0.110468042274786,1.5,0.12756264236902,0.767355590885003,0.534625
urban_events,20,ST,9308,109,7,0.0277117973079968,0.202898550724638,0.0487634970393591,0.0249910746162085,1,0.0857142857142857,0.797101449275362,0.0851165
urban_events,20,ELiSeD,9308,109,11,0.0684877276326207,0.527439024390244,0.121233356692362,0.0645281611339053,2,0,0.472560975609756,0.1205908
urban_events,20,LE-calib,9308,109,39,0.264845605700713,0.271951219512195,0.26835138387485,0.15496872828353,1,0.337817638266069,0.728048780487805,1.6834052
urban_events,21,LLGD,12013,103,74,0.297542914843487,0.18941504178273,0.231474207907829,0.130885401243707,1,0.127828054298643,0.81058495821727,0.8176446
urban_events,21,ST,12013,103,20,0.0955907101985863,0.394444444444444,0.153887835274993,0.0833577927795715,1.66666666666667,0.00704225352112675,0.605555555555556,0.0955175
urban_events,21,ELiSeD,12013,103,31,0.0821272298889263,0.207130730050934,0.117618703302,0.0624839948783611,1.33333333333333,0.0491803278688525,0.792869269949066,0.184001
urban_events,21,LE-calib,12013,103,53,0.266240323123527,0.207013870714473,0.232921083627797,0.131811364772538,1,0.22629582806574,0.792986129285527,2.0985585
urban_events,22,LLGD,11856,106,38,0.283546499024496,0.374356038923869,0.322684100160355,0.192381232534196,1,0.370795107033639,0.625643961076131,0.7423995
urban_events,22,ST,11856,106,23,0.0500758725341426,0.327659574468085,0.086874764949229,0.045409868291724,1.14285714285714,0,0.672340425531915,0.1018441
urban_events,22,ELiSeD,11856,106,13,0.00953826143507479,0.105769230769231,0.017498508649831,0.00882647943831495,1,0,0.894230769230769,0.1432129
urban_events,22,LE-calib,11856,106,39,0.212226316930414,0.311089926914522,0.252319587628866,0.144373986137738,1,0.247191011235955,0.688910073085478,2.1371435
urban_events,23,LLGD,6191,90,30,0.089622641509434,0.171945701357466,0.117829457364341,0.0626029654036244,1,0.184210526315789,0.828054298642534,0.3460116
urban_events,23,ST,6191,90,20,0.102987421383648,0.441077441077441,0.166985340981517,0.0910987482614743,1.4,0,0.558922558922559,0.0450367
urban_events,23,ELiSeD,6191,90,28,0.035377358490566,0.174757281553398,0.058842759071592,0.0303132367800606,1,0.177777777777778,0.825242718446602,0.077906
urban_events,23,LE-calib,6191,90,30,0.308962264150943,0.42258064516129,0.356948228882834,0.217247097844113,1,0.461832061068702,0.57741935483871,1.1406719
