Dataset,Packet,Experiment,Category,Parameter,Value,Repeat,EventCount,LineCount,ClusterCount,Coverage,Precision,F1,IoU,Fragmentation,MergeError,ExtraEventRatio,RuntimeSeconds
urban_events,3,w/o global expansion,Ablation,UseGlobalExpansion,0,1,4574,85,25,0.000692520775623269,0.00256410256410256,0.00109051254089422,0.000545553737043099,NaN,0,0.997435897435897,0.2466624
urban_events,3,unit estimation weights,Ablation,UseWeights,0,1,4574,85,24,0.000692520775623269,0.00259067357512953,0.00109289617486339,0.000546746856205577,NaN,0,0.99740932642487,0.2381847
urban_events,3,unit support tests,Ablation,UseMultiplicitySupport,0,1,4574,85,221,0.809556786703601,0.353278936234512,0.491899852724595,0.326171875,1.5,0.25748502994012,0.646721063765488,0.5590012
urban_events,3,MAD = 3,Sensitivity,MAD,3,1,4574,85,24,0.000692520775623269,0.0025974025974026,0.00109349371241115,0.000547045951859956,NaN,0,0.997402597402597,0.2617498
urban_events,3,MAD = 3.5,Sensitivity,MAD,3.5,1,4574,85,25,0.000692520775623269,0.00253807106598985,0.00108813928182807,0.000544365813826892,NaN,0,0.99746192893401,0.264039
urban_events,3,MAD = 4,Sensitivity,MAD,4,1,4574,85,25,0.000692520775623269,0.00253807106598985,0.00108813928182807,0.000544365813826892,NaN,0,0.99746192893401,0.2562248
urban_events,3,p_in = 0.7,Sensitivity,p_in,0.7,1,4574,85,26,0.000692520775623269,0.00247524752475248,0.00108225108225108,0.000541418516513265,NaN,0,0.997524752475248,0.2556737
urban_events,3,p_in = 0.8,Sensitivity,p_in,0.8,1,4574,85,25,0.000692520775623269,0.00253807106598985,0.00108813928182807,0.000544365813826892,NaN,0,0.99746192893401,0.2546858
urban_events,3,p_in = 0.9,Sensitivity,p_in,0.9,1,4574,85,20,0.000692520775623269,0.00280112044817927,0.00111049416990561,0.000555555555555556,NaN,0,0.997198879551821,0.2787478
urban_events,3,p_w = 0.7,Sensitivity,p_w,0.7,1,4574,85,25,0.000692520775623269,0.00253807106598985,0.00108813928182807,0.000544365813826892,NaN,0,0.99746192893401,0.3851578
urban_events,3,p_w = 0.8,Sensitivity,p_w,0.8,1,4574,85,25,0.000692520775623269,0.00253807106598985,0.00108813928182807,0.000544365813826892,NaN,0,0.99746192893401,0.3782268
urban_events,3,p_w = 0.9,Sensitivity,p_w,0.9,1,4574,85,25,0.000692520775623269,0.00253807106598985,0.00108813928182807,0.000544365813826892,NaN,0,0.99746192893401,0.3937039
urban_events,3,overlap = 0.7,Sensitivity,overlap,0.7,1,4574,85,25,0.000692520775623269,0.00253807106598985,0.00108813928182807,0.000544365813826892,NaN,0,0.99746192893401,0.3719274
urban_events,3,overlap = 0.8,Sensitivity,overlap,0.8,1,4574,85,25,0.000692520775623269,0.00253807106598985,0.00108813928182807,0.000544365813826892,NaN,0,0.99746192893401,0.2612659
urban_events,3,overlap = 0.9,Sensitivity,overlap,0.9,1,4574,85,25,0.000692520775623269,0.00253807106598985,0.00108813928182807,0.000544365813826892,NaN,0,0.99746192893401,0.2538344
urban_events,3,eps_s = 0.015,Sensitivity,eps_s,0.015,1,4574,85,18,0,0,0,0,NaN,NaN,1,0.2133052
urban_events,3,eps_s = 0.02,Sensitivity,eps_s,0.02,1,4574,85,25,0.000692520775623269,0.00253807106598985,0.00108813928182807,0.000544365813826892,NaN,0,0.99746192893401,0.2707042
urban_events,3,eps_s = 0.025,Sensitivity,eps_s,0.025,1,4574,85,27,0.0311634349030471,0.0875486381322957,0.0459652706843718,0.0235232618923157,NaN,0.222222222222222,0.912451361867704,0.354407
urban_events,3,eps_t = 0.005,Sensitivity,eps_t,0.005,1,4574,85,8,0.000692520775623269,0.003584229390681,0.00116076610562972,0.000580720092915215,NaN,0,0.996415770609319,0.2097114
urban_events,3,eps_t = 0.01,Sensitivity,eps_t,0.01,1,4574,85,21,0.000692520775623269,0.00279329608938547,0.00110987791342952,0.000555247084952804,NaN,0,0.997206703910615,0.2345461
urban_events,3,eps_t = 0.015,Sensitivity,eps_t,0.015,1,4574,85,25,0.000692520775623269,0.00254452926208651,0.00108873162765378,0.000544662309368192,NaN,0,0.997455470737914,0.2537814
urban_events,3,eps_t = 0.02,Sensitivity,eps_t,0.02,1,4574,85,25,0.000692520775623269,0.00253807106598985,0.00108813928182807,0.000544365813826892,NaN,0,0.99746192893401,0.2643469
urban_events,3,eps_t = 0.025,Sensitivity,eps_t,0.025,1,4574,85,25,0.000692520775623269,0.00253807106598985,0.00108813928182807,0.000544365813826892,NaN,0,0.99746192893401,0.2493907
urban_events,3,Event retention = 25%,Sparsity,retention,0.25,1,1144,72,1,0.00280898876404494,0.0142857142857143,0.00469483568075117,0.00235294117647059,NaN,0,0.985714285714286,0.0256549
urban_events,3,Event retention = 25%,Sparsity,retention,0.25,2,1144,77,0,0,0,0,0,NaN,NaN,0,0.0246581
urban_events,3,Event retention = 25%,Sparsity,retention,0.25,3,1144,75,1,0.00272479564032698,0.0172413793103448,0.00470588235294118,0.00235849056603774,NaN,0,0.982758620689655,0.021466
urban_events,3,Event retention = 25%,Sparsity,retention,0.25,4,1144,74,1,0.00274725274725275,0.0158730158730159,0.00468384074941452,0.00234741784037559,NaN,0,0.984126984126984,0.0293477
urban_events,3,Event retention = 25%,Sparsity,retention,0.25,5,1144,75,0,0,0,0,0,NaN,NaN,0,0.0207674
urban_events,3,Event retention = 50%,Sparsity,retention,0.5,1,2287,81,3,0,0,0,0,NaN,NaN,1,0.0794654
urban_events,3,Event retention = 50%,Sparsity,retention,0.5,2,2287,80,4,0,0,0,0,NaN,NaN,1,0.0921412
urban_events,3,Event retention = 50%,Sparsity,retention,0.5,3,2287,78,6,0.00136054421768707,0.00694444444444444,0.00227531285551763,0.00113895216400911,NaN,0,0.993055555555556,0.0844201
urban_events,3,Event retention = 50%,Sparsity,retention,0.5,4,2287,81,6,0,0,0,0,NaN,NaN,1,0.0821938
urban_events,3,Event retention = 50%,Sparsity,retention,0.5,5,2287,81,6,0.00134408602150538,0.00662251655629139,0.00223463687150838,0.00111856823266219,NaN,0,0.993377483443709,0.0749007
urban_events,3,Event retention = 75%,Sparsity,retention,0.75,1,3431,84,15,0.000914076782449726,0.004,0.00148809523809524,0.000744601638123604,NaN,0,0.996,0.164522
urban_events,3,Event retention = 75%,Sparsity,retention,0.75,2,3431,83,11,0,0,0,0,NaN,NaN,1,0.1684881
urban_events,3,Event retention = 75%,Sparsity,retention,0.75,3,3431,82,16,0.000925069380203515,0.0037593984962406,0.00148478099480327,0.000742942050520059,NaN,0,0.996240601503759,0.1571417
urban_events,3,Event retention = 75%,Sparsity,retention,0.75,4,3431,83,13,0.000921658986175115,0.00418410041841004,0.00151057401812689,0.000755857898715042,NaN,0,0.99581589958159,0.1454774
urban_events,3,Event retention = 75%,Sparsity,retention,0.75,5,3431,83,12,0.000933706816059757,0.00408163265306122,0.00151975683890578,0.000760456273764259,NaN,0,0.995918367346939,0.1425686
urban_events,3,Added events = 5%,AddedEvents,added-event ratio,0.05,1,4803,85,28,0.000692520775623269,0.00242130750605327,0.00107700592353258,0.000538793103448276,NaN,0,0.997578692493947,0.2521872
urban_events,3,Added events = 5%,AddedEvents,added-event ratio,0.05,2,4803,85,25,0.000692520775623269,0.00254452926208651,0.00108873162765378,0.000544662309368192,NaN,0,0.997455470737914,0.2674013
urban_events,3,Added events = 5%,AddedEvents,added-event ratio,0.05,3,4803,85,27,0.000692520775623269,0.00246913580246914,0.00108166576527853,0.000541125541125541,NaN,0,0.997530864197531,0.276254
urban_events,3,Added events = 5%,AddedEvents,added-event ratio,0.05,4,4803,85,26,0.000692520775623269,0.00232558139534884,0.00106723585912487,0.000533902829684997,NaN,0,0.997674418604651,0.2728812
urban_events,3,Added events = 5%,AddedEvents,added-event ratio,0.05,5,4803,85,26,0.00484764542936288,0.0154185022026432,0.00737618545837724,0.00370174510840825,1,0,0.984581497797357,0.2713427
urban_events,3,Added events = 10%,AddedEvents,added-event ratio,0.1,1,5031,85,29,0.000692520775623269,0.00236406619385343,0.00107123727905731,0.000535905680600214,NaN,0,0.997635933806147,0.2792104
urban_events,3,Added events = 10%,AddedEvents,added-event ratio,0.1,2,5031,85,26,0,0,0,0,NaN,NaN,1,0.2722811
urban_events,3,Added events = 10%,AddedEvents,added-event ratio,0.1,3,5031,85,30,0.028393351800554,0.0788461538461538,0.0417515274949083,0.0213208528341134,NaN,0.170731707317073,0.921153846153846,0.2765737
urban_events,3,Added events = 10%,AddedEvents,added-event ratio,0.1,4,5031,85,30,0.000692520775623269,0.00235294117647059,0.00107009095773141,0.000535331905781585,NaN,0,0.997647058823529,0.286573
urban_events,3,Added events = 10%,AddedEvents,added-event ratio,0.1,5,5031,85,27,0,0,0,0,NaN,NaN,1,0.3008089
urban_events,3,Added events = 20%,AddedEvents,added-event ratio,0.2,1,5489,85,28,0.010387811634349,0.0328227571115974,0.0157811678064177,0.00795334040296925,1,0,0.967177242888403,0.3172505
urban_events,3,Added events = 20%,AddedEvents,added-event ratio,0.2,2,5489,85,29,0.000692520775623269,0.0020746887966805,0.00103842159916926,0.000519480519480519,NaN,0,0.99792531120332,0.3473707
urban_events,3,Added events = 20%,AddedEvents,added-event ratio,0.2,3,5489,85,35,0.0346260387811634,0.0881834215167548,0.0497265042267529,0.0254971953085161,NaN,0.14,0.911816578483245,0.3402843
urban_events,3,Added events = 20%,AddedEvents,added-event ratio,0.2,4,5489,85,32,0.00692520775623269,0.0186915887850467,0.0101061141990905,0.00507872016251905,NaN,0,0.981308411214953,0.3107798
urban_events,3,Added events = 20%,AddedEvents,added-event ratio,0.2,5,5489,85,33,0,0,0,0,NaN,NaN,1,0.3059155
urban_events,3,Added events = 30%,AddedEvents,added-event ratio,0.3,1,5946,85,32,0,0,0,0,NaN,NaN,1,0.3372978
urban_events,3,Added events = 30%,AddedEvents,added-event ratio,0.3,2,5946,85,30,0,0,0,0,NaN,NaN,1,0.3331175
urban_events,3,Added events = 30%,AddedEvents,added-event ratio,0.3,3,5946,85,36,0.0886426592797784,0.133611691022964,0.106577851790175,0.0562884784520668,NaN,0.3125,0.866388308977035,0.3575611
urban_events,3,Added events = 30%,AddedEvents,added-event ratio,0.3,4,5946,85,33,0.038781163434903,0.0945945945945946,0.0550098231827112,0.0282828282828283,1,0.0357142857142857,0.905405405405405,0.386552
urban_events,3,Added events = 30%,AddedEvents,added-event ratio,0.3,5,5946,85,36,0.0367036011080332,0.0863192182410423,0.0515063168124393,0.0264339152119701,NaN,0.150943396226415,0.913680781758958,0.4237765
urban_events,3,Full LLGD runtime,Runtime,-,NaN,1,4574,85,25,0.000692520775623269,0.00253807106598985,0.00108813928182807,0.000544365813826892,NaN,0,0.99746192893401,0.2518537
urban_events,3,Full LLGD runtime,Runtime,-,NaN,2,4574,85,25,0.000692520775623269,0.00253807106598985,0.00108813928182807,0.000544365813826892,NaN,0,0.99746192893401,0.2500876
urban_events,3,Full LLGD runtime,Runtime,-,NaN,3,4574,85,25,0.000692520775623269,0.00253807106598985,0.00108813928182807,0.000544365813826892,NaN,0,0.99746192893401,0.2777615
urban_events,4,Full LLGD,Full,-,NaN,1,21068,123,89,0.663486416558862,0.308774834437086,0.421425636811832,0.266965970460017,1,0.56129661223495,0.691225165562914,1.9369229
urban_events,4,w/o weighted support,Ablation,UseWeights,0,1,21068,123,276,0.963939197930142,0.299472494348154,0.456974203687378,0.296154610492846,1.5,0.611977856064419,0.700527505651846,2.2403666
urban_events,4,w/o local verification,Ablation,UseVerification,0,1,21068,123,141,0.755659767141009,0.317567108392796,0.447198430546916,0.287994576605448,1.125,0.473357586133105,0.682432891607204,1.5454546
urban_events,4,w/o global expansion,Ablation,UseGlobalExpansion,0,1,21068,123,466,0.564359637774903,0.323747680890538,0.411459561424192,0.259017366780466,3.65625,0.0856733524355301,0.676252319109462,1.5431251
urban_events,4,unit estimation weights,Ablation,UseWeights,0,1,21068,123,51,0.944372574385511,0.301996069914159,0.457644385236267,0.296717813230363,1,0.782191780821918,0.698003930085841,4.1408209
urban_events,4,unit support tests,Ablation,UseMultiplicitySupport,0,1,21068,123,142,0.979139715394567,0.298776275535379,0.457844990548204,0.296886491787203,1,0.730635838150289,0.701223724464621,2.8868551
urban_events,4,MAD = 3,Sensitivity,MAD,3,1,21068,123,98,0.672865459249677,0.306068407502758,0.420749279538905,0.266423357664234,1.16666666666667,0.540735400144196,0.693931592497242,1.885075
urban_events,4,MAD = 3.5,Sensitivity,MAD,3.5,1,21068,123,89,0.663486416558862,0.308774834437086,0.421425636811832,0.266965970460017,1,0.56129661223495,0.691225165562914,1.9503957
urban_events,4,MAD = 4,Sensitivity,MAD,4,1,21068,123,83,0.685802069857697,0.314217974364674,0.430974035872161,0.274676165803109,1,0.564725300636642,0.685782025635326,1.8964597
urban_events,4,p_in = 0.7,Sensitivity,p_in,0.7,1,21068,123,93,0.683699870633894,0.312006493985684,0.428477324550291,0.272651060811247,1,0.559602649006623,0.687993506014316,2.0671394
urban_events,4,p_in = 0.8,Sensitivity,p_in,0.8,1,21068,123,89,0.663486416558862,0.308774834437086,0.421425636811832,0.266965970460017,1,0.56129661223495,0.691225165562914,2.0239728
urban_events,4,p_in = 0.9,Sensitivity,p_in,0.9,1,21068,123,88,0.692108667529107,0.298237056651104,0.416849281714147,0.263303598892648,1,0.582476635514019,0.701762943348896,1.8983355
urban_events,4,p_w = 0.7,Sensitivity,p_w,0.7,1,21068,123,64,0.850743855109961,0.302808794750777,0.446642329569573,0.287533475433131,1,0.743584869796617,0.697191205249223,3.2367294
urban_events,4,p_w = 0.8,Sensitivity,p_w,0.8,1,21068,123,89,0.663486416558862,0.308774834437086,0.421425636811832,0.266965970460017,1,0.56129661223495,0.691225165562914,1.9967891
urban_events,4,p_w = 0.9,Sensitivity,p_w,0.9,1,21068,123,85,0.667367399741268,0.303099294947121,0.416868686868687,0.263319083774644,1,0.578143930215653,0.696900705052879,2.0037673
urban_events,4,overlap = 0.7,Sensitivity,overlap,0.7,1,21068,123,89,0.663486416558862,0.308125563232202,0.420820512820513,0.266480483211015,1,0.56129661223495,0.691874436767798,2.9354739
